Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1D32;11;1;1;4;32;11;nat;;;;;;;;;3.8;;;;;;;;;;;g;;;;;;;;;exp;;
A1D33;71;1;1;4;33;72;nat;20;31.6;58;8;0;25;95;0;7.3;186;12;25;29;29;31;32;33;8;8.1;vivant;12;25;29;29;31;32;33;8;exp;28.52;1
A1D35;51;1;1;4;35;51;nat;;;;;;;;;7.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1D36;27;1;1;4;36;cc;nat;0;29.125;57.5;8;1;50;90;8;7.2;224;7;23;30;31;10;15;14;23;2.3;vivant;7;23;30;31;10;15;14;23;exp;28.925;1
A1D37;74;1;1;4;37;74;nat;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
A1D38;45;1;1;4;38;45;nat;;;;;;;;;5.8;;;;;;;;;;;g;;;;;;;;;exp;;
A1D4;71;1;1;4;4;71;nat;40;39.25;27;16;0;25;;;8.2;135;29;38;42;42;0;0;0;0;;2014;29;38;42;42;;;;;exp;29.45;0
A1D41;1;1;1;4;41;1;nat;10;24;29;3;1;25;70;10;6.9;135;18.5;34;38;39;32;32;33;18;8.2;vivant;18.5;34;38;39;32;32;33;18;exp;18.2;1
A1D42;70;1;1;4;42;70;nat;20;32;32;14;1;25;85;35;4.8;135;14.5;28;34;37;22;41;47;51;5.3;vivant;14.5;28;34;37;22;41;47;51;exp;24.6;1
A1D43;11;1;1;4;43;11;nat;10;19.5;35.5;0;0;25;;;4.3;135;10;18;17;14;0;0;0;0;;2014;10;18;17;14;;;;;exp;18;0
A1D44;76;1;1;4;44;76;nat;5;21.25;73;62;0;25;40;8;3.6;135;12;19;14;11;13;18;22;19;3.2;vivant;12;19;14;11;13;18;22;19;exp;37.25;1
A1D45;70;1;1;4;45;70;nat;30;38.35;48;23;0;50;;;2.7;135;14;25;23;23;0;0;0;0;;2014;14;25;23;23;;;;;exp;37.87;0
A1D46;27;1;1;4;46;27;nat;;;;;;;;;1.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1D47;77;1;1;4;47;77;nat;30;40.8;42;16;1;25;10;;3.5;186;16;23;26;24;15;18;6;0;2;2017;16;23;26;24;15;18;6;;exp;30.76;0
A1D7;73;1;1;4;7;73;nat;30;33.5;49;28;1;50;100;;4.9;135;11.5;28;28;31;21;22;21;0;2.9;2017;11.5;28;28;31;21;22;21;;exp;38.1;0
A1D8;74;1;1;4;8;74;nat;50;57.3;70;24;0;50;;;4.3;135;16;17;16;17;0;0;0;0;;2014;16;17;16;17;;;;;exp;50.26;0
A1E10;48;1;1;5;10;48;nat;50;33.75;88;21;0;50;;;5.4;135;14;19;21;19;0;0;0;0;;2014;14;19;21;19;;;;;exp;48.55;0
A1E11;76;1;1;5;11;76;nat;40;41.1;50;24;0;25;100;8;5.9;135;13;22;30;27;14;20;20;18;2.9;vivant;13;22;30;27;14;20;20;18;exp;36.02;1
A1E12;74;1;1;5;12;74;nat;;;;;;;;;2.9;;;;;;;;;;;g;;;;;;;;;exp;;
A1E13;70;1;1;5;13;70;nat;40;28.275;62.5;3;1;25;90;;5.5;168;11;14;13;14;15;13;21;0;2.5;2017;11;14;13;14;15;13;21;;exp;31.755;0
A1E14;74;1;1;5;14;74;nat;40;38.35;23;11;1;25;95;15;5.1;135;18;34;36;37;41;49;55;47;9.9;vivant;18;34;36;37;41;49;55;47;exp;27.47;1
A1E15;11;1;1;5;15;11;nat;20;34.925;55.5;9;1;25;100;2;7.6;153;18.5;28;25;25;15;18;15;25;6.2;vivant;18.5;28;25;25;15;18;15;25;exp;28.885;1
A1E16;77;1;1;5;16;77;nat;;;;;;;;;4.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1E17;77;1;1;5;17;77;nat;;;;;;;;;4.1;;;;;;;;;;;g;;;;;;;;;exp;;
A1E18;27;1;1;5;18;27;nat;20;49.425;11;11;1;50;100;10;5;135;12.5;20;19;25;20;30;43;40;5.2;vivant;12.5;20;19;25;20;30;43;40;exp;28.285;1
A1E19;9;1;1;5;19;9;nat;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1E2;45;1;1;5;2;45;nat;;;;;;;;;3.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1E20;72;1;1;5;20;72;nat;10;36;32;8;0;25;95;8;3.3;135;10;24;27;27;31;24;40;40;6.2;vivant;10;24;27;27;31;24;40;40;exp;22.2;1
